species,year,pounds,commonname,sciname,comname,orderyear,ton
311,1971,1,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1972,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1973,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1974,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1975,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1976,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1977,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1978,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1979,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1980,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1981,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1982,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1983,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1984,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1985,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1986,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1987,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1988,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1989,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1990,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1991,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1992,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1993,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1994,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1995,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1996,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1997,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1998,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,1999,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,2000,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,2001,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,2002,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,2003,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,2004,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,2005,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,2006,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,2007,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,2008,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,2009,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
311,2010,0,Kokanee,Oncorhynchus nerka,Kokanee,1971,0
611,1971,16,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1972,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1973,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1974,2,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1975,1,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1976,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1977,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1978,1,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1979,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1980,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1981,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1982,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1983,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1984,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1985,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1986,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1987,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1988,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1989,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1990,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1991,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1992,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1993,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1994,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1995,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1996,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1997,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1998,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,1999,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,2000,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,2001,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,2002,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,2003,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,2004,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,2005,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,2006,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,2007,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,2008,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,2009,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
611,2010,0,Crappies,Pomoxis spp.,Crappies,1971.85,0
306,1971,133,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1972,51,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1973,36,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1974,13,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1975,15,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1976,2,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1977,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1978,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1979,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1980,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1981,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1982,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1983,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1984,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1985,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1986,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1987,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1988,1,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1989,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1990,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1991,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1992,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1993,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1994,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1995,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1996,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1997,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1998,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,1999,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,2000,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,2001,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,2002,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,2003,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,2004,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,2005,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,2006,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,2007,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,2008,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,2009,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
306,2010,0,Brook trout,Salvelinus fontinalis,Brooktrout,1971.99203187251,0
101,1971,580,Lake sturgeon,Acipenser fulvescens,Lakesturgeon,1973.29742765273,0
101,1972,294,Lake sturgeon,Acipenser fulvescens,Lakesturgeon,1973.29742765273,0
101,1973,153,Lake sturgeon,Acipenser fulvescens,Lakesturgeon,1973.29742765273,0
101,1974,27,Lake sturgeon,Acipenser fulvescens,Lakesturgeon,1973.29742765273,0
101,1975,23,Lake sturgeon,Acipenser fulvescens,Lakesturgeon,1973.29742765273,0
101,1976,24,Lake sturgeon,Acipenser fulvescens,Lakesturgeon,1973.29742765273,0
101,1977,4,Lake sturgeon,Acipenser fulvescens,Lakesturgeon,1973.29742765273,0
101,1978,2,Lake sturgeon,Acipenser fulvescens,Lakesturgeon,1973.29742765273,0
101,1979,3,Lake sturgeon,Acipenser fulvescens,Lakesturgeon,1973.29742765273,0
101,1980,2,Lake sturgeon,Acipenser fulvescens,Lakesturgeon,1973.29742765273,0
101,1981,8,Lake sturgeon,Acipenser fulvescens,Lakesturgeon,1973.29742765273,0
101,1982,18,Lake sturgeon,Acipenser fulvescens,Lakesturgeon,1973.29742765273,0
101,1983,31,Lake sturgeon,Acipenser fulvescens,Lakesturgeon,1973.29742765273,0
101,1984,6,Lake sturgeon,Acipenser fulvescens,Lakesturgeon,1973.29742765273,0
101,1985,2,Lake sturgeon,Acipenser fulvescens,Lakesturgeon,1973.29742765273,0
101,1986,12,Lake sturgeon,Acipenser fulvescens,Lakesturgeon,1973.29742765273,0
101,1987,40,Lake sturgeon,Acipenser fulvescens,Lakesturgeon,1973.29742765273,0
101,1988,0,Lake sturgeon,Acipenser fulvescens,Lakesturgeon,1973.29742765273,0
